,IQ,CGPA,Academic_Performance,Communication_Skills,Projects_Completed,Placement
3169,93,7.43,7,6,3,0
7054,102,7.53,1,5,2,0
4828,113,7.31,8,8,0,0
9570,94,9.08,4,2,3,0
1259,99,4.92,9,3,1,0
8712,82,6.17,9,5,5,0
3661,89,9.42,5,10,2,1
7922,81,7.33,7,2,4,0
1024,125,8.86,4,1,0,0
4965,96,8.08,4,1,0,0
752,85,9.59,6,5,5,0
3942,91,6.96,3,9,5,0
3710,78,8.13,4,8,3,1
9960,83,8.17,9,6,4,0
1951,118,7.39,8,6,4,0
6314,116,5.33,6,2,2,0
351,122,10.04,4,8,2,1
1511,97,6.31,7,2,3,0
4829,84,7.87,2,8,0,0
9616,115,8.63,1,10,5,1
3746,67,7.72,8,3,2,0
5799,90,6.01,1,7,4,0
701,115,7.49,9,9,2,1
3693,115,6.3,3,10,0,0
4614,100,7.27,10,4,4,0
7213,93,9.33,1,10,2,1
561,131,5.93,4,3,5,0
2318,91,9.2,5,7,3,0
3098,98,7.75,2,4,5,0
4838,120,7.54,4,9,3,1
3150,112,5.58,7,4,0,0
5608,113,5.87,2,10,2,1
4299,88,6.56,6,1,0,0
4618,99,7.7,3,5,1,0
4074,93,8.92,7,9,4,1
3994,69,9.45,9,4,2,0
6373,119,6.8,8,7,4,0
6167,97,9.07,9,5,1,0
1047,76,6.53,8,1,4,0
2939,94,8.51,2,9,3,1
1808,76,9.79,9,9,3,1
3166,94,8.91,10,6,4,0
414,104,7.87,8,1,4,0
1340,102,7.32,4,2,5,0
9371,99,7.57,5,7,0,0
7740,110,8.63,4,9,1,0
5060,95,7.22,9,5,4,0
4633,112,7.88,5,8,3,1
4609,87,8.64,4,2,1,0
7366,125,5.86,1,3,5,0
1469,106,5.39,1,7,5,0
1710,116,6.04,2,10,0,0
6270,94,5.19,10,4,4,0
8732,104,7.65,3,5,4,0
2271,92,8.37,10,7,4,0
1583,100,9.74,10,1,1,0
1412,106,6.29,10,3,4,0
4111,88,6.49,9,5,2,0
7652,99,8.25,3,2,1,0
6693,106,9.33,3,7,0,0
1722,111,5.36,3,4,0,0
2024,54,8.82,4,9,0,0
2212,113,9.3,2,4,5,1
1507,114,9.81,3,7,5,1
2622,101,6.28,7,4,2,0
5290,123,5.31,3,8,5,1
9128,108,5.53,7,10,0,0
1321,107,5.32,4,8,1,0
842,83,7.01,2,3,3,0
1146,83,7.64,7,1,3,0
3624,128,9.25,10,7,3,1
4280,131,4.93,4,9,0,0
9010,105,8.52,8,1,4,0
8986,89,8.93,2,1,2,0
4681,91,5.6,2,7,4,0
463,103,5.66,9,6,0,0
1754,107,8.59,7,7,0,0
3936,118,6.41,4,4,2,0
7933,120,6.99,3,7,3,0
9460,105,7.62,8,1,5,0
4401,116,9.31,3,1,1,0
4700,85,8.38,7,8,5,1
8991,113,8.6,4,5,1,0
378,132,5.87,5,1,4,0
3106,80,10.28,8,6,1,0
8215,103,7.34,10,4,3,0
1335,94,7.85,5,8,2,0
1223,106,9.13,4,1,4,0
3848,97,7.55,2,3,3,0
2716,109,9.77,5,3,3,0
6837,73,4.86,8,4,2,0
2952,107,7.47,2,3,3,0
1350,82,9.59,5,9,2,1
1082,95,5.73,2,1,1,0
6453,90,4.68,9,6,1,0
1811,102,5.96,1,6,5,0
4121,97,9.59,4,2,5,0
1351,72,5.44,4,8,0,0
7817,86,6.65,5,6,5,0
8796,92,6.62,5,6,5,0
1894,98,7.15,4,1,4,0
6639,99,5.94,6,7,5,0
565,93,4.99,10,8,4,0
3903,85,6.3,5,5,3,0
7100,96,9.06,4,3,5,0
3673,112,9.09,9,6,3,1
4366,92,7.03,10,9,2,0
7545,107,6.8,5,4,2,0
1212,89,7.55,6,7,2,0
1189,85,9.85,5,7,4,0
3955,90,9.11,3,4,2,0
898,118,6.6,1,1,3,0
4786,110,6.26,3,5,4,0
8092,98,7.35,5,8,2,0
4602,124,7.17,9,2,0,0
8896,107,6.1,5,8,1,0
3454,56,6.24,8,3,5,0
3609,93,8.11,10,2,2,0
8157,84,6.4,2,1,3,0
8765,93,6.34,5,7,1,0
9677,123,5.09,8,5,5,0
7572,90,6.89,9,4,2,0
3909,88,9.07,6,4,5,0
4028,123,8.0,9,9,4,1
3931,122,8.73,10,9,2,1
2332,77,7.09,8,8,1,0
7302,93,6.53,7,1,5,0
2262,118,5.7,8,5,1,0
9260,71,7.62,3,3,4,0
5781,89,7.48,9,4,5,0
2595,66,7.41,4,1,5,0
7200,102,8.03,3,8,4,1
3593,77,9.3,4,3,0,0
5216,104,5.72,3,5,3,0
1030,96,6.52,9,9,4,0
7433,86,4.96,3,1,0,0
7877,104,8.76,1,4,1,0
8823,90,9.02,8,1,0,0
8236,113,9.71,4,10,3,1
5733,97,7.92,6,4,1,0
5378,109,9.04,1,4,3,0
7762,84,9.18,6,5,4,0
1755,120,5.79,1,7,2,0
7355,112,8.54,3,3,2,1
4161,107,7.43,10,9,3,0
231,103,5.18,2,5,2,0
8104,82,7.95,7,1,0,0
110,71,9.07,8,2,5,0
5457,95,5.84,8,9,1,0
6708,121,8.62,10,5,0,0
2514,98,9.16,1,2,2,0
5961,131,8.35,8,8,1,1
4279,105,9.28,4,5,5,0
4720,115,8.84,4,8,3,1
2917,110,6.84,4,5,3,0
9390,98,7.5,2,6,0,0
2992,101,6.33,2,8,4,0
2317,90,7.59,7,4,4,0
4847,92,9.66,10,4,0,0
4292,77,8.51,10,10,5,1
6991,114,7.49,5,5,1,0
1515,98,6.32,4,1,5,0
216,88,6.07,4,1,5,0
9213,107,7.87,8,8,4,0
9061,100,4.91,2,1,2,0
8417,101,5.63,2,10,4,0
2263,83,7.77,8,3,1,0
5326,92,9.0,7,6,0,0
6840,90,10.34,9,7,3,0
8498,73,6.82,3,1,0,0
6010,99,8.88,10,3,4,0
893,117,7.13,3,9,5,1
1490,91,9.74,9,6,4,0
3003,128,7.96,5,3,1,0
1850,90,10.12,10,7,2,0
5199,113,6.41,10,8,1,0
6380,130,7.17,5,1,3,0
324,84,4.87,7,6,3,0
1215,118,5.89,1,7,2,0
2899,104,6.55,4,10,4,0
2933,114,9.94,8,4,3,1
3658,102,5.83,10,7,4,0
8678,106,8.79,4,7,2,0
6673,101,8.63,9,2,3,0
7972,90,7.16,6,7,5,0
8586,127,6.28,7,5,0,0
6169,106,7.3,2,3,2,0
9724,88,7.76,6,9,0,0
1129,104,7.85,2,1,2,0
8856,103,8.03,8,9,3,1
2918,101,5.65,2,9,3,0
3902,125,6.15,4,9,3,1
7947,112,5.76,10,10,4,1
9097,81,9.54,6,3,1,0
3827,107,7.35,10,4,5,0
4923,121,8.65,6,1,1,0
208,107,7.71,5,9,4,0
3254,105,5.92,2,5,5,0
2795,87,6.39,1,6,3,0
5106,84,9.86,5,2,1,0
9011,80,5.48,10,4,4,0
798,100,7.88,4,4,0,0
9105,94,6.92,4,7,2,0
734,115,6.86,9,7,2,0
2244,124,8.33,3,3,3,1
178,96,10.07,7,5,2,0
5830,96,5.3,7,8,3,0
7008,120,8.18,4,7,5,1
1174,88,6.74,1,6,1,0
6642,87,9.13,3,1,3,0
5848,86,8.33,8,1,1,0
1831,103,7.45,9,1,1,0
7995,133,6.88,4,8,3,1
9279,95,7.6,10,4,4,0
7897,98,7.8,4,8,0,0
8597,115,8.94,2,2,2,1
8522,92,6.43,1,6,5,0
198,100,6.96,1,3,1,0
7928,104,7.1,1,2,4,0
7076,112,9.8,2,4,1,0
9284,102,7.99,2,8,3,0
1097,70,7.64,5,7,2,0
548,105,6.71,5,7,5,0
6908,87,8.27,9,3,5,0
8229,111,5.05,6,3,5,0
4706,121,5.87,9,1,4,0
6912,89,9.08,4,2,4,0
3369,101,8.64,6,4,2,0
7583,120,6.51,9,8,1,0
2532,108,8.17,6,5,3,0
4055,103,8.57,10,5,5,0
2314,109,10.11,2,2,4,0
6653,105,10.08,7,2,4,0
6885,87,7.7,3,5,1,0
5937,76,8.62,9,1,2,0
2815,112,8.8,1,7,5,1
3437,80,6.27,2,7,1,0
3880,104,7.79,5,10,1,0
4157,92,4.97,2,3,5,0
66,98,6.53,10,1,1,0
7866,112,7.58,10,2,5,0
616,101,8.19,7,2,0,0
1118,103,8.71,7,4,2,0
3260,96,6.7,3,9,5,0
3401,108,5.71,4,4,1,0
3692,118,6.74,2,9,5,1
937,110,5.74,6,2,3,0
6604,99,4.73,2,8,2,0
2572,95,10.18,3,7,4,0
7536,93,9.71,10,10,3,1
6324,92,9.09,4,10,5,1
622,128,8.02,6,7,0,0
1681,99,6.9,4,9,5,0
2126,82,6.26,3,9,0,0
787,106,8.99,2,9,0,0
3332,123,4.58,3,9,5,1
7236,96,5.77,5,4,1,0
1092,110,4.81,3,3,2,0
9103,120,9.6,3,7,1,0
5020,99,8.26,2,3,4,0
9353,102,6.9,7,5,1,0
5944,107,7.8,6,10,5,0
3280,87,7.01,5,10,0,0
8186,108,9.86,7,3,1,0
2201,97,7.59,7,3,3,0
1160,62,5.43,3,8,5,0
5581,115,5.71,6,3,1,0
3592,134,7.47,8,2,0,0
3952,132,8.24,2,10,0,1
9691,95,7.04,3,7,0,0
6247,109,7.42,2,2,0,0
4153,88,7.65,5,7,0,0
478,146,9.44,8,7,4,1
1352,108,8.98,8,1,0,0
4309,93,9.98,10,6,1,0
5698,98,9.72,10,10,4,1
2647,78,8.88,7,1,3,0
8460,88,5.85,10,5,3,0
8198,133,9.58,6,6,0,0
7689,97,8.74,1,1,2,0
9257,83,6.51,9,3,5,0
2589,99,6.2,8,1,1,0
1033,109,8.36,6,3,4,0
4686,88,6.0,5,10,4,0
5011,111,6.32,2,6,4,0
2598,118,5.98,10,4,0,0
5819,96,6.5,3,1,3,0
4608,110,7.4,8,7,3,0
8470,98,5.87,1,2,0,0
9040,103,7.22,10,10,4,0
7450,93,4.99,1,6,3,0
4671,75,5.37,9,3,1,0
5583,105,5.83,7,10,5,0
3717,134,5.81,9,9,2,1
9327,116,7.35,8,7,1,0
3928,82,5.89,8,10,3,0
3617,95,8.63,1,8,4,1
1425,70,9.79,4,8,2,1
9378,94,6.02,1,4,1,0
2919,119,6.8,9,4,4,0
3819,82,7.46,9,4,0,0
1871,96,6.9,4,1,0,0
5487,106,6.79,8,10,2,0
480,98,9.06,1,3,0,0
5972,110,9.37,7,7,5,0
9600,67,7.27,5,8,1,0
2888,94,9.54,8,4,1,0
6686,92,9.19,3,4,0,0
6315,110,6.38,4,7,2,0
527,100,8.97,3,5,0,0
4129,124,5.45,3,2,4,0
722,79,5.59,8,9,4,0
5120,79,6.47,7,1,3,0
4722,100,8.7,4,2,3,0
220,134,10.0,1,5,3,1
9188,98,5.61,7,8,3,0
1935,77,6.74,10,4,0,0
344,92,8.49,8,10,0,0
8332,102,8.74,9,1,1,0
9674,109,7.08,5,5,2,0
4483,108,6.85,3,7,1,0
9706,123,9.71,7,7,3,1
8486,106,6.09,7,10,5,0
9216,118,6.12,1,8,3,1
6903,93,10.38,7,7,2,0
9154,95,6.62,3,3,0,0
5960,87,10.28,5,6,2,0
7034,124,6.58,6,5,0,0
6051,115,9.2,2,6,5,1
2391,86,6.8,7,9,1,0
7181,94,6.29,1,8,5,0
4328,125,7.66,10,9,2,1
6452,83,6.1,5,3,2,0
1983,112,7.39,3,4,5,0
8246,100,7.53,9,10,0,0
1554,96,7.01,10,4,1,0
4850,60,9.26,1,6,1,0
9095,102,7.19,8,4,3,0
9922,74,7.49,6,1,1,0
7532,101,5.71,9,9,1,0
6853,74,8.59,2,5,2,0
4641,101,6.73,4,6,4,0
2881,68,9.09,9,8,3,1
1677,122,5.18,6,2,5,0
4885,92,8.19,3,8,0,0
1964,108,5.83,10,2,5,0
901,94,9.05,8,1,0,0
7130,98,9.48,5,1,1,0
3068,103,6.44,8,1,1,0
2296,106,6.81,10,6,0,0
6237,100,7.34,10,2,0,0
5862,94,5.48,6,6,3,0
296,113,4.85,7,10,2,1
8778,117,9.52,1,8,3,1
57,95,9.96,5,5,3,0
7242,87,7.43,9,4,3,0
4385,93,4.73,5,2,1,0
2984,75,8.46,1,8,5,1
27,105,8.48,2,1,4,0
4407,94,6.07,2,3,5,0
9877,79,9.17,1,7,1,0
2676,105,8.36,2,1,2,0
8545,128,8.67,3,5,2,1
5262,104,8.74,7,3,4,0
5841,82,7.35,9,7,4,0
7021,75,7.12,5,10,4,0
3248,103,6.4,8,5,2,0
5667,110,9.89,2,9,3,1
3884,99,5.3,6,1,0,0
7663,109,8.09,1,9,3,1
295,89,6.29,6,7,0,0
3161,106,5.14,1,5,4,0
2580,105,8.73,5,5,0,0
3870,79,7.8,5,6,1,0
9210,78,10.01,1,4,5,0
4404,98,8.07,8,10,2,1
6952,78,8.79,2,10,4,1
648,96,6.17,5,7,2,0
1370,97,7.61,2,8,1,0
9855,108,7.27,3,4,1,0
6992,114,9.47,5,4,0,0
5532,119,9.34,10,6,1,0
9620,105,9.24,8,8,5,1
5708,88,9.63,7,3,5,0
4209,83,7.26,2,5,0,0
681,83,7.59,2,8,1,0
434,122,6.25,10,6,2,0
9309,115,5.82,4,8,2,1
4824,99,9.35,8,2,2,0
9761,87,6.32,1,8,4,0
3159,104,8.05,6,3,3,0
1489,118,7.63,6,7,3,0
2987,101,6.64,10,4,3,0
812,121,8.0,8,7,5,0
1882,81,6.05,1,4,3,0
9267,71,6.37,6,3,4,0
4936,100,5.5,6,4,2,0
9935,101,8.57,8,8,0,0
1940,104,7.59,8,7,2,0
3296,125,7.9,6,4,2,0
3534,131,6.38,4,9,4,1
4525,117,6.99,2,8,5,1
3729,65,9.88,6,5,1,0
7015,106,9.7,6,10,1,0
1612,113,9.04,10,1,5,1
1181,120,5.56,9,9,5,1
1375,96,5.4,7,10,2,0
9224,77,9.86,2,3,2,0
3946,108,7.44,2,3,2,0
7210,135,7.33,6,5,0,0
5211,83,7.16,6,6,1,0
63,82,6.3,3,6,5,0
626,85,7.04,9,2,4,0
4421,83,10.24,10,8,0,0
1669,108,9.88,7,4,5,0
2112,100,9.61,5,3,1,0
5804,117,7.38,8,10,0,0
9763,104,7.67,9,6,4,0
4032,82,9.01,3,3,5,0
6545,94,6.74,3,10,5,0
7948,114,6.59,8,2,5,0
84,87,6.22,1,3,3,0
9180,98,4.87,4,7,2,0
1462,96,4.99,6,1,5,0
2283,85,6.2,7,2,0,0
2887,120,9.32,4,8,1,1
5834,102,8.28,1,6,2,0
684,81,9.28,5,9,2,1
4469,105,8.66,1,8,1,0
418,117,6.57,2,9,2,1
5228,109,5.38,1,9,4,0
4253,83,5.5,4,5,4,0
2709,123,8.97,1,2,4,1
2357,102,9.33,5,4,3,0
8059,85,5.76,7,4,0,0
1366,99,7.42,7,8,0,0
6277,97,10.0,8,3,1,0
3916,98,7.24,6,4,4,0
293,112,5.6,7,4,0,0
2639,105,10.03,4,2,1,0
9458,115,5.88,9,10,4,1
1506,110,9.8,10,10,1,0
9037,120,9.25,10,7,5,1
7393,94,7.43,7,1,1,0
1634,94,5.79,7,3,0,0
2457,103,6.75,8,4,5,0
9891,113,7.48,10,8,1,0
5558,99,8.76,3,2,3,0
9751,102,7.49,7,5,3,0
2300,115,6.94,5,4,5,0
4537,95,7.73,5,3,5,0
2938,75,9.34,3,3,3,0
1563,113,8.42,8,9,3,1
5689,97,7.21,5,5,0,0
8658,101,9.71,10,3,3,0
7517,96,6.07,10,6,4,0
1979,106,7.67,10,6,4,0
1883,91,5.9,6,5,1,0
3803,102,7.98,7,10,0,0
438,74,7.27,2,4,5,0
4635,56,5.42,4,10,5,0
4528,99,5.79,6,3,1,0
4332,111,9.42,5,7,5,1
3573,102,8.13,4,10,1,0
8741,122,6.26,5,3,5,0
8911,87,5.75,4,3,1,0
4817,86,6.56,9,1,0,0
6435,95,6.78,2,7,0,0
2986,98,8.82,10,8,2,1
7838,95,7.81,6,9,3,0
704,76,4.77,6,5,1,0
2280,74,6.94,10,2,5,0
8734,76,5.93,6,8,0,0
4147,98,4.59,8,3,0,0
5412,88,6.37,4,5,2,0
373,114,7.91,9,1,5,0
6405,120,6.84,9,8,3,1
9223,77,5.38,7,1,0,0
2585,90,8.98,4,8,0,0
1332,96,5.56,3,7,2,0
9572,92,9.25,3,1,4,0
5282,115,8.64,3,5,3,1
9131,130,7.45,6,3,3,0
8315,111,8.44,10,4,5,1
9809,96,7.06,4,6,1,0
1784,101,7.03,2,10,5,0
3182,83,5.63,7,6,4,0
494,122,8.02,2,2,4,1
7363,91,5.15,9,7,0,0
2860,92,7.26,3,6,2,0
7929,77,7.8,8,3,0,0
4041,111,7.58,7,10,3,1
7178,93,5.79,8,7,3,0
2897,125,6.17,6,6,2,0
366,103,4.79,9,5,4,0
849,92,9.38,9,6,1,0
7440,126,8.24,4,10,5,1
9454,111,9.69,6,1,2,1
4301,79,7.22,2,9,0,0
2653,115,8.45,10,2,2,1
3503,100,7.96,4,5,2,0
1541,126,5.16,2,1,2,0
4165,111,9.32,10,10,3,1
8866,104,5.95,8,2,0,0
322,87,9.17,7,1,1,0
2031,85,7.86,9,10,2,0
813,102,5.13,5,9,2,0
8939,97,8.94,7,5,4,0
9375,84,7.06,8,4,5,0
1079,112,8.78,8,2,0,0
2226,121,5.01,4,5,0,0
9136,97,5.84,7,5,5,0
9531,118,6.76,7,5,5,0
2705,115,7.53,8,5,5,0
6824,111,9.15,6,10,2,1
7556,119,8.25,5,7,2,1
1164,115,8.4,8,8,1,1
3261,100,7.33,1,6,5,0
4687,85,7.22,8,3,0,0
1450,104,10.38,1,2,3,0
3862,99,8.29,7,10,1,0
6103,105,8.52,2,3,0,0
9215,118,8.6,3,2,3,1
7120,93,9.7,7,7,3,0
6398,113,5.18,8,8,2,1
9588,69,9.16,8,10,1,0
6214,86,8.53,6,7,5,0
9645,95,7.97,10,4,1,0
5336,92,9.23,1,9,5,1
4056,121,8.99,4,9,0,1
9511,84,6.07,4,9,4,0
2999,97,5.14,5,10,3,0
9024,100,6.22,9,10,0,0
1231,79,6.1,9,10,1,0
1514,98,9.33,1,10,2,1
2313,107,6.51,4,10,4,0
1451,125,5.27,3,2,1,0
5267,91,9.24,10,7,3,0
6131,91,9.86,3,9,3,1
8531,78,5.8,5,3,2,0
6464,81,7.34,4,4,0,0
838,114,8.23,7,3,5,1
9915,104,9.18,6,7,5,0
8261,125,6.72,4,3,2,0
6414,105,6.43,7,3,0,0
8504,79,5.8,10,9,0,0
3567,116,8.14,2,2,1,0
9264,86,4.72,7,6,0,0
3087,118,8.74,5,6,1,0
8643,102,9.77,3,3,2,0
1714,91,6.46,5,1,2,0
339,91,10.26,8,8,2,1
9563,120,6.67,5,10,3,1
5942,100,9.65,10,9,1,0
9869,95,8.04,7,1,3,0
8102,92,5.39,8,3,2,0
8488,108,7.36,4,7,5,0
588,112,5.22,1,9,0,0
3365,129,6.68,4,6,0,0
2670,89,7.46,4,7,1,0
3589,94,5.16,3,9,2,0
34,112,9.01,3,9,4,1
28,90,5.33,6,10,1,0
8553,100,8.65,3,2,5,0
8117,105,5.41,6,10,0,0
2170,114,5.94,2,3,2,0
8377,86,9.05,8,4,2,0
5620,95,9.46,6,9,1,0
889,116,8.52,10,1,4,1
6489,119,6.42,4,5,5,0
3322,76,8.38,9,1,4,0
9396,109,8.15,10,8,1,0
3514,106,7.49,7,6,2,0
4420,120,7.41,5,9,1,0
8351,91,10.08,3,10,5,1
5361,101,8.96,8,1,5,0
3733,102,8.92,2,4,2,0
9463,103,5.37,2,6,2,0
7081,118,7.89,9,4,3,0
1654,105,7.79,3,5,1,0
5032,110,8.87,3,2,2,0
223,75,7.21,6,2,3,0
8625,103,6.2,4,9,1,0
6194,59,5.06,7,7,4,0
1590,83,6.21,5,8,3,0
5982,129,6.77,6,2,0,0
3256,86,5.2,3,3,4,0
6680,95,8.49,1,3,4,0
4770,100,7.33,10,7,4,0
2181,94,6.78,3,6,5,0
6803,125,10.17,4,10,2,1
4913,102,7.13,6,8,3,0
6786,114,8.0,4,3,3,0
4789,97,6.97,5,6,5,0
1209,126,6.96,9,7,1,0
421,126,7.02,8,6,1,0
8740,88,10.17,5,6,3,0
1706,110,10.05,3,5,4,0
1158,114,7.72,8,9,4,1
2306,109,5.6,3,9,1,0
273,100,8.46,9,9,3,1
171,87,5.95,1,6,2,0
3956,98,7.32,6,1,4,0
6696,114,6.31,3,6,4,0
3188,113,9.28,7,3,0,0
8132,104,7.84,9,5,5,0
4808,121,6.71,4,3,2,0
8083,111,7.65,1,8,3,1
1564,111,5.69,3,1,4,0
1782,77,9.73,6,3,2,0
843,105,9.6,3,3,4,0
9345,97,5.31,2,10,1,0
4461,127,9.2,9,1,5,1
904,102,10.15,1,1,0,0
5911,98,6.44,8,7,1,0
9950,113,8.07,2,7,5,1
9297,89,9.81,5,3,4,0
1547,104,5.67,10,8,4,0
2080,100,5.67,1,5,2,0
9881,96,7.19,1,9,1,0
3985,68,10.1,5,4,1,0
6389,111,4.87,8,4,5,0
7579,78,5.96,5,8,2,0
9245,88,4.8,9,1,0,0
6567,97,7.07,3,10,0,0
8206,109,5.15,7,3,0,0
3820,94,9.89,4,6,4,0
2646,94,5.94,6,10,2,0
4454,119,5.68,5,1,5,0
7159,93,6.4,5,9,0,0
8221,114,6.89,10,1,3,0
8596,93,7.02,2,3,2,0
9589,111,6.56,10,5,4,0
6071,77,7.0,9,4,3,0
2155,90,6.19,9,7,0,0
6712,121,8.11,9,7,5,1
3715,97,7.41,5,2,3,0
4057,106,9.09,2,3,2,0
5952,89,8.07,9,8,3,1
3102,124,6.56,5,8,4,1
558,105,6.99,2,2,4,0
4610,101,6.03,10,5,2,0
6978,123,5.12,1,2,2,0
1436,96,8.78,1,9,2,1
507,87,8.48,5,8,2,1
1869,93,6.33,9,4,4,0
755,139,8.74,1,2,0,0
5419,82,6.6,2,9,1,0
4050,88,6.41,5,7,5,0
8089,92,10.04,5,1,5,0
3836,118,6.54,8,4,0,0
2118,61,8.65,7,10,3,1
6152,88,9.65,2,4,4,0
7808,124,8.4,4,4,5,1
501,128,8.59,2,9,1,1
6259,95,7.32,1,10,2,0
9743,102,5.45,6,8,3,0
1539,56,9.38,7,8,2,1
6141,99,9.55,9,5,5,0
1211,89,9.88,3,10,3,1
9122,110,8.57,5,10,0,0
672,94,8.71,6,1,0,0
3377,85,8.33,4,5,4,0
8783,82,9.08,10,3,1,0
1464,91,6.77,3,2,4,0
1192,90,6.07,9,3,0,0
6984,81,8.39,7,10,2,1
1872,95,6.51,4,4,5,0
3590,116,5.16,8,2,1,0
6726,87,9.58,5,1,1,0
505,92,9.49,10,5,3,0
8118,96,7.18,3,10,3,0
506,91,6.43,4,7,5,0
9449,111,6.58,8,10,2,1
7131,97,6.95,6,8,1,0
4807,109,5.32,2,10,4,0
7303,105,9.42,5,10,3,1
1773,102,6.65,1,10,2,0
6854,100,7.43,7,4,5,0
4906,92,7.5,1,9,2,0
797,110,7.48,2,9,2,0
8785,103,8.97,2,3,0,0
7070,118,8.73,9,6,2,1
2829,94,4.91,8,4,0,0
9319,83,7.28,1,8,1,0
8737,96,9.91,4,4,0,0
312,112,6.15,2,2,1,0
746,102,9.67,9,5,5,0
3569,113,10.05,5,1,4,1
790,106,9.7,2,5,2,0
2476,96,7.99,5,6,2,0
9325,105,6.58,2,9,0,0
2570,100,6.82,10,6,3,0
5286,81,9.7,4,8,4,1
5215,107,8.56,1,2,5,0
2163,117,7.64,3,5,4,0
6577,84,10.37,8,8,4,1
8449,104,9.32,7,9,1,0
380,87,9.81,3,9,3,1
8508,90,5.24,2,1,5,0
1292,99,6.49,2,1,0,0
1912,109,7.41,8,8,1,0
599,105,8.39,1,9,5,1
3892,88,4.69,3,2,0,0
4141,124,5.47,10,10,3,1
1652,102,5.79,2,3,5,0
5224,144,9.27,3,6,0,0
1893,98,5.68,4,3,3,0
1944,109,8.42,2,5,2,0
3395,79,6.86,9,7,0,0
5479,116,6.72,2,4,5,0
9769,73,10.45,6,8,1,0
375,88,9.54,6,6,2,0
1966,97,7.81,3,4,1,0
3957,96,7.57,6,10,3,0
7135,107,7.75,9,2,0,0
7478,128,9.87,5,3,1,0
4505,105,6.34,8,5,4,0
9580,121,9.03,3,1,2,1
5288,90,6.7,5,10,1,0
1471,90,7.96,6,7,0,0
3346,95,6.22,7,10,2,0
6253,104,5.45,8,4,4,0
2853,103,9.69,5,7,5,0
8988,122,6.97,2,9,0,0
9775,123,9.02,10,2,5,1
6459,101,6.95,8,7,4,0
4062,85,7.97,10,1,2,0
5863,73,5.92,7,3,5,0
4306,90,5.98,10,9,4,0
4877,106,8.37,1,9,3,1
7249,77,5.72,4,6,2,0
5273,110,6.96,7,6,0,0
3990,74,6.47,10,2,1,0
1049,120,8.66,3,5,1,0
6175,96,8.15,4,2,1,0
6926,100,7.09,6,9,4,0
7864,93,6.87,2,7,0,0
2035,141,8.12,6,10,4,1
4039,89,9.69,7,8,3,1
6875,86,5.83,2,10,3,0
9354,67,6.96,3,10,1,0
1972,109,7.21,2,7,1,0
5072,109,7.46,10,7,0,0
2099,112,10.1,10,4,0,0
1499,108,9.64,2,7,5,0
9612,92,7.48,7,7,2,0
652,95,8.53,2,9,3,1
170,86,6.12,8,6,1,0
4085,96,7.11,9,10,4,0
242,107,7.67,1,3,5,0
5710,101,8.38,4,8,5,1
6972,128,5.91,8,6,4,0
2756,102,10.11,5,2,5,0
6884,102,9.03,2,7,4,0
5446,79,6.3,9,5,3,0
2076,109,5.76,5,9,1,0
4103,113,9.64,8,9,3,1
9559,94,6.55,3,4,4,0
7571,100,6.05,3,7,5,0
9466,121,6.51,9,2,3,0
4894,84,7.89,7,9,1,0
6692,96,5.07,3,4,2,0
8054,91,9.72,8,7,1,0
5389,67,7.45,4,10,2,0
9373,104,8.47,3,7,2,0
8021,91,7.98,4,2,4,0
8604,109,8.19,4,1,4,0
4480,82,7.24,4,1,1,0
8326,97,7.71,7,6,5,0
4078,94,9.16,1,1,4,0
640,94,9.64,6,1,3,0
1270,116,6.93,10,1,3,0
2778,99,7.66,3,10,5,0
9497,110,9.68,5,5,4,0
3861,88,9.69,5,7,4,0
3480,95,6.59,6,1,5,0
1534,93,9.31,10,8,0,0
325,81,5.16,3,4,5,0
2338,100,6.01,7,9,1,0
3980,120,5.48,9,8,5,1
6877,88,5.83,4,2,1,0
4054,84,7.77,1,6,0,0
2237,85,9.31,7,8,0,0
7106,70,8.67,4,5,3,0
9668,86,9.85,2,5,2,0
4745,95,6.17,2,4,1,0
864,90,6.7,3,4,0,0
6203,128,6.85,5,10,0,0
5508,96,6.72,7,7,0,0
7429,76,7.54,5,8,3,0
371,107,9.53,2,6,3,0
6296,86,6.91,5,3,0,0
5551,106,8.44,2,2,1,0
5723,90,9.28,7,3,5,0
5899,116,8.7,6,5,4,1
9287,105,5.8,9,3,5,0
7871,128,8.46,9,5,3,1
2364,90,5.34,1,10,4,0
3213,122,7.74,3,2,3,0
911,103,8.38,8,7,4,0
9047,99,5.91,7,8,5,0
9790,112,8.54,9,8,2,1
7289,99,9.8,4,2,0,0
9958,109,8.48,5,1,4,0
6536,85,6.77,4,10,4,0
9192,109,8.29,3,9,5,1
1423,87,6.92,10,1,2,0
9807,114,6.53,1,3,3,0
479,116,7.95,8,2,3,0
662,99,5.81,10,5,4,0
4476,93,9.29,3,9,5,1
8982,98,5.79,10,9,2,0
8077,117,10.36,5,9,2,1
2988,83,7.47,6,6,4,0
1119,115,5.37,2,8,2,1
2776,96,7.76,7,9,4,0
9835,115,8.97,9,2,2,1
5003,95,8.89,1,2,1,0
6649,103,9.96,10,10,2,1
7254,110,8.19,4,5,0,0
4427,87,9.69,2,3,0,0
7431,78,6.12,4,10,5,0
3981,124,6.86,8,9,1,0
6351,84,5.25,4,3,5,0
2893,103,5.67,7,6,0,0
